,locality,construction_year,Number_of_frontages,province,zip_code,price,property_type,subproperty_type,bedroom_count,total_area_m2,equipped_kitchen,furnished,open_fire,terrace_sqm,terrace,garden_sqm,garden,floodZoneType,surface_land,swimming_pool,state_building,epc,primaryEnergyConsumptionPerSqm,heating_Type,Double_Glazing,cadastral_income,latitude,longitude,region,price_square
0,Marche-en-Famenne,1899.0,4.0,Luxembourg,6940,590000,0.0,HOUSE,7.0,444.0,,0,0,0.0,0,2600,1,0,3677.0,0,,2.0,455.0,FUELOIL,0,2332,50.3516368,5.4966231,Wallonia,1328.8288288288288
1,Antwerp,1974.0,4.0,Antwerp,2970,1490000,0.0,VILLA,4.0,410.0,HYPER_EQUIPPED,0,0,0.0,0,1797,1,0,2051.0,0,5.0,6.0,193.0,FUELOIL,0,5592,51.2360967,4.5396552,Flanders,3634.1463414634145
2,Nivelles,1990.0,4.0,Walloon Brabant,1380,835000,0.0,VILLA,5.0,260.0,HYPER_EQUIPPED,0,0,,1,0,0,1,3476.0,0,4.0,6.0,159.0,FUELOIL,1,4692,,,Wallonia,3211.5384615384614
3,Aalst,,,East Flanders,9340,478000,0.0,HOUSE,3.0,179.0,,0,0,0.0,0,0,0,1,394.0,0,5.0,,0.0,,0,0,50.9727154,3.9925748,Flanders,2670.391061452514
4,Bastogne,2022.0,2.0,Luxembourg,6600,289000,1.0,APARTMENT,3.0,101.0,,0,0,12.0,1,0,0,1,,0,4.0,7.0,55.0,GAS,1,1,49.9975384,5.7166257,Wallonia,2861.3861386138615
5,Huy,1965.0,4.0,Liège,4500,595000,0.0,VILLA,6.0,300.0,SEMI_EQUIPPED,0,0,0.0,0,0,0,1,5026.0,0,3.0,4.0,306.0,FUELOIL,0,0,50.5222586,5.2680306,Wallonia,1983.3333333333333
6,Antwerp,1898.0,2.0,Antwerp,2000,1050000,0.0,EXCEPTIONAL_PROPERTY,4.0,240.0,USA_HYPER_EQUIPPED,0,0,,1,30,1,0,107.0,0,5.0,6.0,190.0,GAS,1,832,51.2060163,4.3915836,Flanders,4375.0
7,Liège,1950.0,2.0,Liège,4000,174000,1.0,APARTMENT,2.0,102.0,INSTALLED,0,0,8.0,1,0,0,0,,0,4.0,3.0,394.0,FUELOIL,1,877,50.6549293,5.5683728,Wallonia,1705.8823529411766
8,Bastogne,2024.0,2.0,Luxembourg,6600,415000,0.0,HOUSE,4.0,180.0,,0,0,29.0,1,0,0,0,180.0,0,4.0,6.0,91.0,GAS,1,1,50.005985,5.7170277,Wallonia,2305.5555555555557
9,Antwerp,1905.0,3.0,Antwerp,2000,699000,1.0,APARTMENT,3.0,200.0,INSTALLED,0,0,0.0,0,0,0,0,,0,5.0,6.0,111.0,GAS,1,1854,51.2225363,4.4038457,Flanders,3495.0
