,price,property_type,subproperty_type,province,locality,zip_code,construction_year,total_area_sqm,surface_land_sqm,nbr_frontages,nbr_bedrooms,equipped_kitchen,fl_furnished,fl_open_fire,fl_terrace,terrace_sqm,fl_garden,garden_sqm,fl_swimming_pool,state_building,primary_energy_consumption_sqm,fl_double_glazing
0,895000,0.0,MANOR_HOUSE,West Flanders,Brugge,8000,,252.0,224.0,2.0,3.0,HYPER_EQUIPPED,0,0,0,0.0,1,85.0,0,4.0,244.0,1
1,409000,0.0,HOUSE,West Flanders,Brugge,8000,1993.0,,313.0,3.0,4.0,MISSING,0,0,1,,0,0.0,0,5.0,198.0,1
2,225000,1.0,APARTMENT,West Flanders,Brugge,8000,1988.0,75.0,,,1.0,MISSING,0,0,0,0.0,0,0.0,0,4.0,261.0,1
3,795000,0.0,MANSION,West Flanders,Brugge,8000,,159.0,115.0,2.0,4.0,MISSING,0,0,1,,0,0.0,0,4.0,295.0,0
4,315000,0.0,HOUSE,West Flanders,Brugge,8000,1967.0,,176.0,,3.0,INSTALLED,0,0,0,0.0,0,0.0,0,4.0,263.0,0
5,365000,0.0,HOUSE,West Flanders,Brugge,8000,,119.0,43.0,,2.0,MISSING,0,0,0,0.0,0,0.0,0,,196.0,0
6,550000,0.0,HOUSE,West Flanders,Brugge,8000,,291.0,360.0,3.0,4.0,MISSING,0,0,1,,0,0.0,0,4.0,476.0,0
7,228000,1.0,APARTMENT,West Flanders,Brugge,8000,1830.0,74.0,,,1.0,MISSING,0,0,0,0.0,0,0.0,0,3.0,143.0,0
8,1095000,0.0,HOUSE,West Flanders,Brugge,8000,,,0.0,,3.0,MISSING,0,0,0,0.0,0,0.0,0,4.0,498.0,0
9,299000,1.0,APARTMENT,West Flanders,Brugge,8000,2017.0,76.0,,2.0,1.0,INSTALLED,0,0,1,14.0,0,0.0,0,5.0,70.0,0
10,415000,1.0,APARTMENT,West Flanders,Brugge,8000,,104.0,,,1.0,MISSING,0,0,0,0.0,0,0.0,0,4.0,,0
