,link,id,locality,country,construction_year,Number_of_frontages,province,zip_code,price,property_type,subproperty_type,bedroom_count,total_area_m2,equipped_kitchen,furnished,open_fire,terrace_sqm,terrace,garden_sqm,garden,floodZoneType,surface_land,swimming_pool,state_building,epc,primaryEnergyConsumptionPerSqm,heating_Type,Double_Glazing,cadastral_income,latitude,longitude,public_sales,notary_sales
6,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/anderlecht/1070/11116342,11116342,Brussels,Belgium,1930.0,2.0,Brussels,1070,620000,HOUSE,MIXED_USE_BUILDING,3.0,533.0,HYPER_EQUIPPED,0,0,0.0,0,0,0,0,245.0,0,GOOD,D,209.0,,0,0,50.8445325,4.3371899,,
10,https://www.immoweb.be/en/classified/exceptional-property/for-sale/heist-op-den-berg-itegem/2222/11130612,11130612,Mechelen,Belgium,1979.0,4.0,Antwerp,2222,2875000,HOUSE,EXCEPTIONAL_PROPERTY,4.0,524.0,HYPER_EQUIPPED,0,0,,1,0,0,0,6673.0,1,AS_NEW,B,148.0,GAS,1,0,51.1001594,4.7124456,,
11,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11295371,11295371,Brussels,Belgium,2023.0,4.0,Brussels,1000,410000,APARTMENT,APARTMENT,1.0,68.0,USA_HYPER_EQUIPPED,0,0,5.0,1,0,0,1,,0,AS_NEW,A,45.0,GAS,1,0,50.8558275,4.3486442,,
12,https://www.immoweb.be/en/classified/villa/for-sale/huy/4500/11284416,11284416,Huy,Belgium,1965.0,4.0,Liège,4500,595000,HOUSE,VILLA,6.0,300.0,SEMI_EQUIPPED,0,0,0.0,0,0,0,1,5026.0,0,TO_BE_DONE_UP,D,306.0,FUELOIL,0,0,50.5222586,5.2680306,,
14,https://www.immoweb.be/en/classified/exceptional-property/for-sale/antwerp/2000/11297315,11297315,Antwerp,Belgium,1898.0,2.0,Antwerp,2000,1050000,HOUSE,EXCEPTIONAL_PROPERTY,4.0,240.0,USA_HYPER_EQUIPPED,0,0,,1,30,1,0,107.0,0,AS_NEW,B,190.0,GAS,1,832,51.2060163,4.3915836,,
15,https://www.immoweb.be/en/classified/house/for-sale/durbuy/6940/11285595,11285595,Marche-en-Famenne,Belgium,1850.0,,Luxembourg,6940,295000,HOUSE,HOUSE,4.0,240.0,,0,0,15.0,1,0,0,1,361.0,0,,C,235.0,FUELOIL,1,684,50.3647979,5.466175,,
17,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11295373,11295373,Brussels,Belgium,2023.0,4.0,Brussels,1000,420000,APARTMENT,APARTMENT,1.0,69.0,USA_HYPER_EQUIPPED,0,0,24.0,1,0,0,1,,0,AS_NEW,A,45.0,GAS,1,0,50.8558275,4.3486442,,
18,https://www.immoweb.be/en/classified/apartment/for-sale/liege/4000/11280534,11280534,Liège,Belgium,1950.0,2.0,Liège,4000,174000,APARTMENT,APARTMENT,2.0,102.0,INSTALLED,0,0,8.0,1,0,0,0,,0,GOOD,E,394.0,FUELOIL,1,877,50.6549293,5.5683728,,
20,https://www.immoweb.be/en/classified/house/for-sale/tielt/8700/9767923,9767923,Tielt,Belgium,,3.0,West Flanders,8700,354000,HOUSE,HOUSE,3.0,,HYPER_EQUIPPED,0,0,0.0,0,0,0,0,0.0,0,AS_NEW,,,,0,0,50.9855931,3.331809,,
22,https://www.immoweb.be/en/classified/house/for-sale/herne/1540/10646009,10646009,Soignies,Belgium,,3.0,Hainaut,7850,420000,HOUSE,HOUSE,3.0,184.0,INSTALLED,0,0,24.0,1,300,1,1,519.0,0,,A,63.0,,0,0,50.6995465,4.0541307,,
23,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2000/11279559,11279559,Antwerp,Belgium,1905.0,3.0,Antwerp,2000,699000,APARTMENT,APARTMENT,3.0,200.0,INSTALLED,0,0,0.0,0,0,0,0,,0,AS_NEW,B,111.0,GAS,1,1854,51.2225363,4.4038457,,
25,https://www.immoweb.be/en/classified/apartment/for-sale/bastogne/6600/11241745,11241745,Bastogne,Belgium,2022.0,2.0,Luxembourg,6600,289000,APARTMENT,APARTMENT,3.0,101.0,,0,0,12.0,1,0,0,1,,0,GOOD,A,55.0,GAS,1,1,49.9975384,5.7166257,,
27,https://www.immoweb.be/en/classified/house/for-sale/liege/4000/11285087,11285087,Liège,Belgium,1960.0,2.0,Liège,4000,249000,HOUSE,HOUSE,4.0,156.0,INSTALLED,0,0,70.0,1,0,0,1,115.0,0,AS_NEW,D,281.0,GAS,1,842,50.642168,5.5574656,,
28,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/11299425,11299425,Gent,Belgium,2023.0,,East Flanders,9000,498000,HOUSE,HOUSE,4.0,192.0,INSTALLED,0,0,26.0,1,75,1,0,0.0,0,,,,,1,0,50.9969529,3.7070249,,
29,https://www.immoweb.be/en/classified/house/for-sale/tielt/8700/9767922,9767922,Tielt,Belgium,,3.0,West Flanders,8700,355000,HOUSE,HOUSE,4.0,,HYPER_EQUIPPED,0,0,0.0,0,0,0,0,0.0,0,AS_NEW,,,,0,0,50.9855931,3.331809,,
30,https://www.immoweb.be/en/classified/apartment/for-sale/wavre/1300/11278350,11278350,Nivelles,Belgium,,,Walloon Brabant,1300,310000,APARTMENT,APARTMENT,1.0,72.0,INSTALLED,0,0,4.0,1,0,0,1,,0,,A++,,GAS,1,0,50.7111059,4.5911782,,
31,https://www.immoweb.be/en/classified/house/for-sale/herne/1540/10646003,10646003,Soignies,Belgium,,3.0,Hainaut,7850,435000,HOUSE,HOUSE,3.0,190.0,INSTALLED,0,0,24.0,1,250,1,1,437.0,0,,A,63.0,,0,0,50.6995465,4.0541307,,
32,https://www.immoweb.be/en/classified/apartment/for-sale/hasselt/3500/11302280,11302280,Hasselt,Belgium,2023.0,2.0,Limburg,3500,136393,APARTMENT,APARTMENT,1.0,43.0,INSTALLED,0,0,4.0,1,0,0,0,,0,,,,,1,0,50.9305047,5.3297261,,
33,https://www.immoweb.be/en/classified/house/for-sale/bastogne/6600/11298061,11298061,Bastogne,Belgium,2024.0,2.0,Luxembourg,6600,415000,HOUSE,HOUSE,4.0,180.0,,0,0,29.0,1,0,0,0,180.0,0,GOOD,B,91.0,GAS,1,1,50.005985,5.7170277,,
34,https://www.immoweb.be/en/classified/flat-studio/for-sale/namur/5000/11217055,11217055,Namur,Belgium,,,Namur,5000,176243,APARTMENT,FLAT_STUDIO,0.0,48.0,,0,0,3.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
35,https://www.immoweb.be/en/classified/house/for-sale/liege/4000/11287918,11287918,Liège,Belgium,1890.0,2.0,Liège,4000,385000,HOUSE,HOUSE,4.0,289.0,HYPER_EQUIPPED,0,0,30.0,1,120,1,0,250.0,0,GOOD,D,330.0,GAS,1,1412,50.6472849,5.5546973,,
36,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/11299427,11299427,Gent,Belgium,2023.0,,East Flanders,9000,545000,HOUSE,HOUSE,4.0,180.0,INSTALLED,0,0,22.0,1,79,1,0,0.0,0,,,,,1,0,50.9969529,3.7070249,,
37,https://www.immoweb.be/en/classified/house/for-sale/tielt/8700/9767924,9767924,Tielt,Belgium,,3.0,West Flanders,8700,367000,HOUSE,HOUSE,4.0,,HYPER_EQUIPPED,0,0,0.0,0,0,0,0,0.0,0,AS_NEW,,,,0,0,50.9855931,3.331809,,
39,https://www.immoweb.be/en/classified/apartment/for-sale/wavre/1300/11278434,11278434,Nivelles,Belgium,2023.0,4.0,Walloon Brabant,1300,425000,APARTMENT,APARTMENT,2.0,90.0,INSTALLED,0,0,17.0,1,0,0,1,,0,,A++,,GAS,1,0,,,,
40,https://www.immoweb.be/en/classified/apartment/for-sale/hasselt/3500/11302276,11302276,Hasselt,Belgium,2023.0,2.0,Limburg,3500,156784,APARTMENT,APARTMENT,1.0,51.0,INSTALLED,0,0,4.0,1,0,0,0,,0,,,,,1,0,50.9305047,5.3297261,,
41,https://www.immoweb.be/en/classified/house/for-sale/herne/1540/10646004,10646004,Soignies,Belgium,,2.0,Hainaut,7850,435000,HOUSE,HOUSE,3.0,186.0,INSTALLED,0,0,24.0,1,200,1,1,355.0,0,,A,63.0,,0,0,50.6995465,4.0541307,,
42,https://www.immoweb.be/en/classified/flat-studio/for-sale/namur/5000/11217064,11217064,Namur,Belgium,,,Namur,5000,182367,APARTMENT,FLAT_STUDIO,0.0,48.0,,0,0,3.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
43,https://www.immoweb.be/en/classified/apartment-block/for-sale/bastogne/6600/11180931,11180931,Bastogne,Belgium,1955.0,2.0,Luxembourg,6600,219000,HOUSE,APARTMENT_BLOCK,1.0,110.0,SEMI_EQUIPPED,0,0,0.0,0,0,0,0,40.0,0,GOOD,D,262.0,ELECTRIC,1,1404,50.0017202,5.7161862,,
44,https://www.immoweb.be/en/classified/house/for-sale/liege/4000/11274316,11274316,Liège,Belgium,2003.0,4.0,Liège,4000,765000,HOUSE,HOUSE,5.0,395.0,HYPER_EQUIPPED,0,0,19.0,1,2500,1,0,3000.0,0,GOOD,B,158.0,FUELOIL,1,3056,50.5716569,5.5522429,,
45,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/11299424,11299424,Gent,Belgium,2023.0,,East Flanders,9000,560000,HOUSE,HOUSE,4.0,192.0,INSTALLED,0,0,26.0,1,75,1,0,0.0,0,,,,,1,0,50.9969529,3.7070249,,
47,https://www.immoweb.be/en/classified/flat-studio/for-sale/bruxelles/1000/11295336,11295336,Brussels,Belgium,2023.0,4.0,Brussels,1000,265000,APARTMENT,FLAT_STUDIO,0.0,54.0,USA_HYPER_EQUIPPED,0,0,0.0,0,0,0,1,,0,AS_NEW,A,45.0,GAS,1,0,50.8558275,4.3486442,,
48,https://www.immoweb.be/en/classified/apartment/for-sale/wavre/1300/11278435,11278435,Nivelles,Belgium,,,Walloon Brabant,1300,425000,APARTMENT,APARTMENT,2.0,89.0,INSTALLED,0,0,18.0,1,0,0,1,,0,,A++,,GAS,1,0,50.7111059,4.5911782,,
